bus_id,node_name,node_phase,vr_upper,vr_lower,vi_upper,vi_lower
1056,R4-25-00-1_xfmr_68_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1057,R4-25-00-1_xfmr_68_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1058,R4-25-00-1_xfmr_69_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1059,R4-25-00-1_xfmr_69_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1060,R4-25-00-1_xfmr_69_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1061,R4-25-00-1_xfmr_70_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1062,R4-25-00-1_xfmr_70_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1063,R4-25-00-1_xfmr_70_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1064,R4-25-00-1_xfmr_71_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1065,R4-25-00-1_xfmr_71_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1066,R4-25-00-1_xfmr_71_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1067,R4-25-00-1_xfmr_72_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
1068,R4-25-00-1_xfmr_72_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
1069,R4-25-00-1_xfmr_72_sending_2,2,60.6,59.4,105.9622914,101.8838302
1070,R4-25-00-1_xfmr_73_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1071,R4-25-00-1_xfmr_73_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1072,R4-25-00-1_xfmr_73_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1073,R4-25-00-1_xfmr_74_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1074,R4-25-00-1_xfmr_74_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1075,R4-25-00-1_xfmr_74_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1076,R4-25-00-1_xfmr_75_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1077,R4-25-00-1_xfmr_75_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1078,R4-25-00-1_xfmr_75_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1079,R4-25-00-1_xfmr_76_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1080,R4-25-00-1_xfmr_76_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1081,R4-25-00-1_xfmr_76_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1082,R4-25-00-1_xfmr_77_primary,C,-7116.1299,-7259.8901,12575.5,12324.5
1083,R4-25-00-1_xfmr_77_sending_1,1,-59.4,-60.6,105.9622914,101.8838302
1084,R4-25-00-1_xfmr_77_sending_2,2,60.6,59.4,-101.8838302,-105.9622914
1085,R4-25-00-1_xfmr_78_primary,A,14519.7802,14232.2598,1,-1
1086,R4-25-00-1_xfmr_78_sending_1,1,121.2,118.8,1,-1
1087,R4-25-00-1_xfmr_78_sending_2,2,-118.8,-121.2,1,-1
1088,R4-25-00-1_xfmr_79_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
1089,R4-25-00-1_xfmr_79_sending_1,1,-59.4,-60.6,-101.8838302,-105.9622914
1090,R4-25-00-1_xfmr_79_sending_2,2,60.6,59.4,105.9622914,101.8838302
1091,R4-25-00-1_xfmr_80_primary,B,-7116.1299,-7259.8901,-12324.5,-12575.5
